College Name, Twitter Handle
Reed College , Reed_College_
Colby-Sawyer College , colbysawyer
Central Christian , cccwichita
Warner University , WarnerU
BRCC , MyBRCC
NewSchool San Diego , NewSchoolArch
Hawaii CC , HawCC
Stevens , FollowStevens
KU Medical Center , KUMedCenter
Southwest University , SUVAedu
Maricopa CC District , mcccd
VFMAC , VFMAC
United States Univ. , USUniversity
Hannibal-LaGrange U , HLGuniversity
ASUMH , ASUMountainHome
Paradise Valley Community College , PVCC_Official
York College of PA , yorkcollegepa
Fuller Seminary , fullerseminary
CC of Aurora , CCAurora
Missouri Western , MissouriWestern
UMSL , umsl
UW-La Crosse , UWLaCrosse
Montgomery College , montcollegejobs
SD Community College , SDCCD
SUNY Canton , SUNYCantonNews
AlbanyMedicalCenter , AlbanyMed
Great Lakes C.C. , GLCCCrusaders
Housatonic , HCCBridgeport
Union County College , UCCweb
CornerstoneU , CornerstoneU
UNC Pembroke , uncpembroke
Fielding University , FieldingGradU
Purdue Polytechnic Institute—West Lafayette , TechPurdue
WSU Tri-Cities , WSUTriCities
LamarInstituteofTech , LITBMT
UW-Superior , uw_superior
BCF , baptistcollege
Albany Pharmacy , ACPHS518
Univ. of Michigan , UMich
Western Seminary , WesternSeminary
Emporia State , emporiastate
UAM Admissions , UAMAdmissions
Casper College , CasperCollege
Tennessee Wesleyan , TNWesleyan
UH Kapiolani , uhkapiolani
CSB/SJU , CSBSJU
Dillard University , du1869
SJCL , SJCL1969
SUNY Old Westbury , SUNYOldWestbury
Alabama A&M , aamuedu
Montana Tech , montana_tech
Univ. of St. Thomas , UofStThomasMN
MVCC Mohawk Valley , MVCC_UticaRome
Ohio State Newark , OhioStateNewark
West Liberty U , westlibertyu
Savannah State , savannahstate
EICC , tweet_eicc
Universidad del Este , univdeleste
Univ. Metropolitana , UMET_PR
Loyola New Orleans , Loyola_NOLA
Alcorn State , AlcornStateU
AmericanCollegeofEd , ACEedu
Ana G. Méndez , SUAGM
Notre Dame College , NotreDameOhio
MSJC , MSJCedu
Terra State , TerraCC
WA Campus Compact , WACampusCompact
